"Name","Progress","ProDetail","KnowledgeType","Topic","Summary","Priority","Category","CATE_CODE","Audio","CN","EN","Author"
"Fooled by Randomness(随机漫步的傻瓜)",0,"HaveNotRead","Hard-knowledge","Critical Thinking-Uncertainty",0,1,"Philosophy and Psychology","PPY","Audio","P","NA","Nassim Nicholas Taleb"
"The Black Swan(黑天鹅)",1,"RoughReading","Hard-knowledge","Critical Thinking-Uncertainty",0,1,"Philosophy and Psychology","PPY","Audio","P","NA","Nassim Nicholas Taleb"
"Antifragile(反脆弱)",1,"ThroughReading","Hard-knowledge","Critical Thinking-Uncertainty",0,1,"Philosophy and Psychology","PPY","Audio","P","NA","Nassim Nicholas Taleb"
"写在人生边上",0.01,"RoughReading","Hard-knowledge",,0,1,"Proses Essays and Poems","PEP","Audio","P","NA","杨绛"
"如何阅读一本书(How to read a book)",1,"ThroughReading","Meta-Knowledge","Critical Thinking-Reading",0,1,"Self-development","SDP","Audio","P","NA","Mortimer J. Adler"
"科技想要什么 (What Technology Wants)",0.01,"RoughReading","Hard-knowledge",,0,1,"Society and Culture","SOC","Audio","P","NA","Kevin Kelly"
"失控(Out of Control)",0.01,"RoughReading","Hard-knowledge",,0,1,"Society and Culture","SOC","Audio","P","NA","Kevin Kelly"
"大连接(Connected)",0.5,"PartialReading","Hard-knowledge",,0,1,"Society and Culture","SOC","Audio","P","NA"," Nicholas A Christakis &  James H Fowler"
"娱乐至死(Amusing ourselves to death)",0.5,"PartialReading","Hard-knowledge",,0,1,"Society and Culture","SOC","Audio","P","NA","Nell Postman"
"每天最重要的2小时 (Two Awesome Hours)",0.01,"RoughReading","Fastfood-knowledge","Self management",1,1,"Self-development","SDP","Audio","P","NA","Josh Davis"
"Working Identity: Unconventional Strategies for Reinventing Your Career(转行)",0.01,"RoughReading","Fastfood-knowledge","Self management",0,1,"Self-development","SDP","Audio","NO","NO","Herminia Ibarra"
"抗压力",0.01,"RoughReading","Fastfood-knowledge","Stress Management",0,1,"Self-development","SDP","Audio","P","P",
"快节奏，慢生活(Mindful Tech)",0.01,"RoughReading","Fastfood-knowledge","Self management",0,1,"Self-development","SDP","Audio","P","NA","David M. Levy"
"Guns, Germs and Steels",0.01,"RoughReading","Hard-knowledge","Human history",0,1,"Society and Culture","SOC","Audio","P","NO",
"走到人生的边上",0.01,"RoughReading","Hard-knowledge","Meaning of life",0,1,"Proses Essays and Poems","PEP","Audio","P","NA","Yang Jiang"
"智慧书",0.01,"ThroughReading","Hard-knowledge","Philosophy of life",0,1,"Philosophy and Psychology","PPY","Audio","P","NA",
"沉思录",0.01,"ThroughReading","Hard-knowledge","Philosophy of life",0,1,"Philosophy and Psychology","PPY","Audio","P","NA",
"相约星期二(Tuesdays with Morrie)",0.01,"RoughReading","Hard-knowledge","Meaning of life",0,1,"Philosophy and Psychology","PPY","Audio","P","NA","Morrie"
"文明的冲突",0.01,"RoughReading","Hard-knowledge","World Civilization",0,1,"Society and Culture","SOC","Audio","P","NA",
"魔鬼经济学",0.01,"RoughReading","Fastfood-knowledge","Economics in life",0,1,"Business & Economics & Management","BEM","Audio","P","NA",
"耶路撒冷三千年",0.01,"RoughReading","Hard-knowledge","History of religions",0,1,"History","HTY","Audio","P","NA",
"悲剧的诞生",,"HaveNotRead","Meta-Knowledge",,0,1,"Philosophy and Psychology","PPY","Audio","P","NA",
"第二性",,"HaveNotRead","Hard-knowledge",,0,1,"Society and Culture","SOC","Audio","P","NO",
"不平等的代价",,"HaveNotRead","Hard-knowledge",,0,1,"Society and Culture","SOC","Audio","P","NO",
"未来简史",0.01,"RoughReading","Hard-knowledge","Future",0,1,"Society and Culture","SOC","Audio","P","NO",
"菊与刀",0.01,"RoughReading","Hard-knowledge","Japanese Culture",0,1,"Society and Culture","SOC","Audio","NO","P",
"乡土中国",0.01,"RoughReading","Hard-knowledge","Chinese Society",0,1,"Society and Culture","SOC","Audio","P","NA",
"大设计",0.01,"RoughReading","Hard-knowledge","Origin of the universe",0,1,"Physics","PHY","Audio","P","NA",
"格调(Class)",0.01,"RoughReading","Fastfood-knowledge","Class",0,1,"Society and Culture","SOC","Audio","E","NA",
"刻意练习 (Peak)",0.01,"RoughReading","Fastfood-knowledge","How to be an expert?",0,1,"Self-development","SDP","Audio","P","NA",
"从0到1",1,"ThroughReading","Fastfood-knowledge","Start business",0,1,"Self-development","SDP","Audio","P","NO",
"贫穷的本质",0.01,"RoughReading","Fastfood-knowledge","Class",0,1,"Society and Culture","SOC","Audio","P","NO",
"关键时刻",0.01,"RoughReading",,"Executive force",0,1,"Business & Economics & Management","BEM","Audio","P","NO",
"决定未来的十种人",0.01,"RoughReading","Fastfood-knowledge","How to innovate?",0,1,"Self-development","SDP","Audio","NA","P",
"细节：如何轻松影响他人",0.01,"RoughReading","Fastfood-knowledge","Negotiation or persuasion",0,1,"Self-development","SDP","Audio","P","NO",
"这样和世界相处",0.01,"RoughReading","Hard-knowledge","Individual psychology",0,1,"Philosophy and Psychology","PPY","Audio","E","P","Alfred Adler"
"知道做到",0.01,"RoughReading","Fastfood-knowledge","Develop good habit",0,1,"Self-development","SDP","Audio","E","P",
"全新思维",0.01,"RoughReading","Fastfood-knowledge","How to innovate?",0,1,"Self-development","SDP","Audio","E","NA",
"你的团队需要一个会讲故事的人",,"HaveNotRead",,,0,1,"Self-development","SDP","Audio","P","NA",
"出版人",,"HaveNotRead",,,0,1,"Biography","BIO","Audio","P","NA",
"最重要的事，只有一件",0.01,"RoughReading","Fastfood-knowledge","Time Management",0,1,"Self-development","SDP","Audio","P","NO",
"精益创业",,"HaveNotRead",,"Start business",0,1,"Business & Economics & Management","BEM","Audio","P","NA",
"反直觉询问",,"HaveNotRead",,"Critical Thinking-Ask Question",0,1,"Self-development","SDP","Audio","E","P",
"学会提问",0.01,"RoughReading","Hard-knowledge","Critical Thinking-Ask Question",0,1,"Self-development","SDP","Audio","P","NO",
"最小阻力之路",0.01,"HaveNotRead","Fastfood-knowledge","Develop good habit",0,1,"Self-development","SDP","Audio","P","NA",
"理性选民的神话",,"HaveNotRead",,,0,1,"Society and Culture","SOC","Audio","NA","P",
"Willpower(意志力)",0.01,"RoughReading","Hard-knowledge","Will Power",0,1,"Self-development","SDP","Audio","P","NA","Roy F. Baumeister & John Tierney"
"The Willpower Instinct(自控力)",1,"ThroughReading","Hard-knowledge","Will Power",0,1,"Self-development","SDP","Audio","NA","P","Kelly McGonigal"
"The Power of Habit(习惯的力量)",0.01,"RoughReading","Hard-knowledge","Will Power",0,1,"Self-development","SDP","Audio",,,"Charles Duhigg"
"逆转",0.01,"RoughReading","Fastfood-knowledge","Self management",0,1,"Self-development","SDP","Audio","NO","P","Malcolm Gladwell"
"引爆点",0.01,"RoughReading","Fastfood-knowledge","Social Impact",0,1,"Business & Economics & Management","BEM","Audio","E","NA","Malcolm Gladwell"
"瞬变",0.01,"RoughReading","Fastfood-knowledge","Develop good habit",0,1,"Self-development","SDP","Audio","P","NO",
"理性乐观派(The Rational Optimist)",0.02,"RoughReading","Hard-knowledge","Critical Thinking-Rational",0,1,"Society and Culture","SOC","Audio","P","NA","Matt Ridley"
"提问的艺术",,"HaveNotRead","Fastfood-knowledge","Critical Thinking-Ask Question",0,1,"Self-development","SDP","Audio","P","NA",
"愚昧者的愚昧",0.01,"RoughReading","Fastfood-knowledge",,0,1,"Self-development","SDP","Audio","P","NO",
"清醒思考的艺术（The Art of Thinking Clearly ）",1,"ThroughReading","Hard-knowledge","Critical Thinking-Rational",0,1,"Self-development","SDP","Audio","P","NA","Rolf Dobelli"
"创新者",,"HaveNotRead",,"How to innovate?",0,1,"Self-development","SDP","Audio","P","NO",
"洗脑术",0.01,"RoughReading","Fastfood-knowledge","Negotiation or persuasion",0,1,"Self-development","SDP","Audio","P","NO",
"沃顿商学院最受欢迎的成功课",,"HaveNotRead",,,0,1,"Self-development","SDP","Audio","P","NO",
"生猛的进化心理学",,"HaveNotRead",,,0,1,"Philosophy and Psychology","PPY","Audio","P","NO",
"演讲的力量",,"HaveNotRead","Fastfood-knowledge","Public Speaking",0,1,"Self-development","SDP","Audio","P","NO",
"Changing the Conversation(解决冲突的关键技巧)",0.01,"RoughReading","Fastfood-knowledge","Social Skill",0,1,"Self-development","SDP","Audio","NA","NO","Dana Caspersen & Joost Elffers "
"所谓情商高，就是会说话",0.01,"RoughReading","Fastfood-knowledge","Social Skill",0,1,"Self-development","SDP","Audio",,,"佐佐木圭一"
"The Introverted Leader(内向者的沟通圣经)",0.01,"RoughReading","Fastfood-knowledge","Social Skill",0,1,"Self-development","SDP","Audio","NO","NO ","Jennifer B. Kahnweiler"
"情绪急救","0,.01","RoughReading","Fastfood-knowledge","Emotion Management",0,1,"Self-development","SDP","Audio","NA","P",
"金钱不能买什么",0.01,"RoughReading","Fastfood-knowledge","Critical Thinking-ethical inquisition",0,1,"Society and Culture","SOC","Audio","NA","P",
"刻意练习",0.01,"RoughReading","Fastfood-knowledge","How to be an expert?",0,1,"Self-development","SDP","Audio","NO","P",
"颠覆式创新",0.01,"RoughReading","Fastfood-knowledge","How to innovate?",0,1,"Self-development","SDP","Audio","P","NA",
"智能时代",,"HaveNotRead","Fastfood-knowledge",,0,1,"Society and Culture","SOC","Audio","P","P",
"蔡康永的说话之道",,"HaveNotRead","Hard-knowledge",,0,1,"Self-development","SDP","Audio","P","P",
"抗压力",0.01,"RoughReading","Fastfood-knowledge","Emotion Management",0,1,"Self-development","SDP","Audio","P","NO",
"高绩效教练",0.01,"RoughReading","Fastfood-knowledge","Self management",0,1,"Self-development","SDP","Audio","P","NO",
"增长的本质",0.01,"RoughReading","Fastfood-knowledge","Economics ",0,1,"Self-development","SDP","Audio","P","NA",
"输赢心理学(Top Dog)",0.01,"RoughReading","Hard-knowledge","Psychology",0,1,"Philosophy and Psychology","PPY","Audio","P","NA",
"The 5 Money Personalities(谈钱不伤感情)",0.01,"RoughReading","Fastfood-knowledge","Intimate Relationship",0,1,"Self-development","SDP","Audio","P","NA",
"海都物语",0.01,"RoughReading","Fact-knowledge","威尼斯历史(History of Venice)",0,1,"History","HTY","Audio","P","NA",
"慢思考(Brainchains discover your brain and unleash its full potential in a hyperconnected multitasking world)",0.01,"RoughReading","Fastfood-knowledge","How to use your brain?",0,1,"Self-development","SDP","Audio","P","NA",
"请用数据说话",,"HaveNotRead",,"Critical Thinking-Data",0,1,"Data Science","DAT","Audio","E","NA",
"浪潮之巅",,"HaveNotRead",,"AI",0,1,"Society and Culture","SOC","Audio","E","P",
"无为(Trying not to try)",0.01,"RoughReading","Hard-knowledge","How to use your brain?",0,1,"Self-development","SDP","Audio","E","NA",
"翻转式学习",0.01,"RoughReading","Hard-knowledge","Children education",0,1,"Other","OTH","Audio","NO","E",
"The Human Advantage(最强大脑)",0.01,"RoughReading","Hard-knowledge","How to use your brain?",0,1,"Philosophy and Psychology","PPY","Audio","NO","NO","Suzana Herculano-Houzel"
"Two Awesome Hours(每天最重要的2小时)",0.01,"RoughReading","Fastfood-knowledge","Time Management",0,1,"Self-development","SDP","Audio","NO","P","Josh Davis"
"混乱(Messy: The Power of Disorder to Transform Our Lives)",0.01,"RoughReading","Fastfood-knowledge","Time Management",0,1,"Self-development","SDP","Audio","P","NO","Tim Harford"
"技术奇点",,"HaveNotRead","Fastfood-knowledge","AI",0,1,"Society and Culture","SOC","Audio","P","NO",
"极简人类史(This Fleeting World)",0.01,"RoughReading","Hard-knowledge","Human history",0,1,"History","HTY","Audio","NA","P","David Christian "
"优秀的绵羊",,"HaveNotRead","Fastfood-knowledge","Children education",0,1,"Other","OTH","Audio","P","NA",
"创业融资，从一个好故事开始",,"HaveNotRead","Fastfood-knowledge","Start business",0,1,"Business & Economics & Management","BEM","Audio","P","NO",
"从零开始学理财",,"HaveNotRead","Fastfood-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","P","NA",
"分享时代：如何缔造影响力",0.01,"RoughReading","Fastfood-knowledge","Social Impact",0,1,"Self-development","SDP","Audio","NA","E",
"为什么常识会撒谎(The Big Questions)",0.01,"RoughReading","Hard-knowledge","Critical Thinking-Rational",0,1,"Philosophy and Psychology","PPY","Audio","NA","P",
"男人来自火星，女人来自金星",,"HaveNotRead","Fastfood-knowledge","Gender difference",0,1,"Gender","GND","Audio","P","NA",
"博恩·崔西的时间管理课",,"HaveNotRead","Fastfood-knowledge","Time Management",0,1,"Self-development","SDP","Audio","P","NA",
"整合(Connected by Design)",0.01,"RoughReading","Fastfood-knowledge","Digital Transformation",0,1,"Business & Economics & Management","BEM","Audio","P","NA","Barry Wacksman & Chris Stutzman"
"理财最重要的事",,"HaveNotRead","Fastfood-knowledge","Wealth Management",0,1,"Self-development","SDP","Audio","P","NA",
"设计思维玩转创业",,"HaveNotRead","Fastfood-knowledge","Start business",0,1,"Self-development","SDP","Audio","E","NA",
"心思大开(Mind Wide Open)",0.01,"RoughReading","Hard-knowledge","How to use your brain?",0,1,"Philosophy and Psychology","PPY","Audio","P","NO",
"我们如何走到今天",0.01,"RoughReading","Fact-knowledge","History of technology",0,1,"History","SOC","Audio","P","NO",
"The 100-Year Life: Living and working in an age of longevity(百岁人生)",0.01,"RoughReading","Fastfood-knowledge","What is the future?",0,1,"Society and Culture","SOC","Audio","E","NA","Andrew Scott & Lynda Gratton"
"Your Survival Instinct Is Killing You (你的生存本能正在杀死你)",0.01,"RoughReading","Fastfood-knowledge","Evolutionary psychology",0,1,"Philosophy and Psychology","PPY","Audio","E","NA","Marc Schoen & Kristin Loberg "
"心灵的七种兵器",0.01,"RoughReading","Fastfood-knowledge","Subconscious ",0,1,"Self-development","SDP","Audio","P","NA","武志红"
"成功的真谛",0.01,"RoughReading","Fastfood-knowledge","稻盛和夫哲学",0,1,"Self-development","SDP","Audio","P","NA","稻盛和夫"
"麦肯锡精英的思考习惯",0.01,"RoughReading","Fastfood-knowledge","Stress Management",0,1,"Self-development","SDP","Audio","P","NA",
"艺用人体结构运动学",0.01,"PartialReading",,,0,0,"Art","ART",,"P","P",
"建筑的七盏明灯",0.01,"PartialReading",,,0,0,"Art","ART",,"P","NO",
"CEO西服学",0.05,"PartialReading",,,0,0,"Art","ART",,"P","P",
"名画的故事",0.1,"PartialReading",,,0,0,"Art","ART",,"P","NA",
"我的风格小黑皮书",1,"ThroughReading","Fastfood-knowledge",,0,0,"Art","ART",,"p","NA",
"旗袍",1,"ReferenceBook",,,0,0,"Art","ART",,"P","P",
"工笔线描－蔓陀罗",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",
"基础图案",1,"ReferenceBook",,,0,0,"Art","ART",,"p","NA",
"瑞兽图案",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",
"明代绘画艺术鉴赏",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",
"结构素描1－单个静物(Still Life)",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",
"结构素描2－几何形体(Geometric Form)",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",
"结构素描3－石膏五官(Facial Features)",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",
"基础素描全程训练——应试篇上：素描头像",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",
"基础素描教程第四册",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",
"基础美术阶梯训练教材——石膏像：素描",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",
"手绘的奇思妙想：49位设计师的创意速写簿",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",
"凡高素描",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",
"速写风景画法",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",
"米开朗基罗素描",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",
"园林钢笔画",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",
"席勒素描",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",
"素描速写含马克笔、彩铅笔",1,"ReferenceBook",,,0,0,"Art","ART",,"P","NA",
"美院视界——色彩静物教学现场",1,"ReferenceBook",,,0,0,"Art","ART",,"E","NA",
"Adult Piano Adventures All-in-One Lesson Book 1",1,"ReferenceBook",,,0,0,"Art","ART",,"E","P"," Nancy Faber"
"奢侈、宁静&享乐",1,"ThroughReading",,,0,0,"Art","ART",,"P","NA","桑贝"
"听朱光潜讲美学 ",0,"HaveNotRead",,,0,0,"Art","ART",,"p","NA",
"世界美术全鉴——巴洛克与罗可可艺术",0,"HaveNotRead",,,0,0,"Art","ART",,"p","NA",
"造型设计基础(毕留举)",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",
"中西形象设计史:职业形象设计师通用培训教程",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",
"服饰配色设计原理与实例精解-服装综合设计原 理与实例精解丛书 ",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",
"萨特论艺术",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",
"中国少数民族服饰(图文并茂） ",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",
"家庭园艺DIY系列——家庭种菜最健康",0.02,"PartialReading",,,0,0,"Art","ART",,"P","NA",
"艺术词典 (Art dictionary)",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",
"西部布堆画艺术（英汉）",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",
"中华风物系列丛书--中国亭子艺术",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",
"维生素矿物质养生事典 ",0.2,"ReferenceBook",,,0,0,"Beauty&Health","BTH",,"P","NA",
"激活——给你能量的果蔬汁",1,"ReferenceBook",,,0,0,"Beauty&Health","BTH",,"P","NA",
"牛尔的爱美书：天然面膜DIY（美容教主《美丽俏佳人》美丽教练牛尔天然护肤秘笈全公开） ",1,"ReferenceBook",,,0,0,"Beauty&Health","BTH",,"P","NA",
"常春藤:人体大百科",0.01,"ReferenceBook",,,0,0,"Beauty&Health","MED",,"P","NA",
"香草美人物语",1,"ThroughReading",,,0,0,"Beauty&Health","BTH",,"P","NA","Kim Morrison & Fleur Welligan "
"吃遍全球——旅行膳食营养指南",1,"ThroughReading",,,0,0,"Beauty&Health","BTH",,"P","NA",
"香水情氛----调出来的神秘",1,"ThroughReading",,,0,0,"Beauty&Health","BTH",,"P","NA",
"花袭人(食花·花疗宝典) ",0,"HaveNotRead",,,0,0,"Beauty&Health","BTH",,"P","NA",
"Steve Jobs ",0.01,"PartialReading","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"P","NA","Walter Isaacson"
"真相与传奇-杜拉斯唯一的传记影集 ",0.5,"PartialReading","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"P","NA",
"曾国藩传",1,"ThroughReading","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"E","NA",
"曾国藩三部曲",1,"ThroughReading","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"E","NO",
"白宫首席金融智囊格林斯潘 (Alan Greenspan)",1,"ThroughReading","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"P","NO",
"龙夫人：慈禧故事",1,"ThroughReading","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"NA","P",
"约翰·亚当斯 ",0,"HaveNotRead","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"NA","P",
"桥－奥巴马传记",0,"HaveNotRead","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"P","NO",
"华盛顿传",0,"HaveNotRead","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"P","NA",
"Biochemistry",0.3,"PartialReading","Meta-Knowledge",,0,0,"Biology","BIO",,"P","NA","Jeremy M. Berg"
"生命是什么",1,"ThroughReading","Meta-Knowledge",,0,0,"Biology","BIO",,"P","NO",
"互联网进化论",0.01,"RoughReading","Fastfood-knowledge",,0,0,"Business & Economics & Management","BEM",,"NO","P",
"策略思维",0.01,"PartialReading","Hard-knowledge","Critical Thinking-Decision",0,0,"Business & Economics & Management","BEM",,"P","P",
"产业链阴谋III ",0.1,"PartialReading","Fastfood-knowledge","Chinese Economy ",0,0,"Business & Economics & Management","BEM",,"NA","P",
"创新者的窘境(The Innovator's Dilemma)",0.1,"PartialReading","Hard-knowledge","How to innovate?",0,0,"Business & Economics & Management","BEM",,"NA","P"," C M Christensen"
"品牌洗脑(Brand Washed)",1,"ThroughReading","Fastfood-knowledge","Negotiation or persuasion",0,0,"Business & Economics & Management","BEM",,"P","P","Martin Lindstrom"
"中国经济缺什么（陈志武、茅于轼、斯蒂格利茨等15位经济学家分析中国经济大趋势，解局中国怎么办，共谋拯救中国经济之良策。）d11",0.2,"PartialReading","Fastfood-knowledge","Chinese Economy ",0,0,"Business & Economics & Management","BEM",,"NA","P",
"长尾理论",0.5,"PartialReading","Hard-knowledge","Marketing Management",0,0,"Business & Economics & Management","BEM",,"p","NA",
"Free: How Today's Smartest Businesses Profit by Giving Something for Nothing ",0.5,"PartialReading","Hard-knowledge","Marketing Management",0,0,"Business & Economics & Management","BEM",,,"NO",
"场景革命",0.5,"PartialReading","Fastfood-knowledge","Marketing Management",0,0,"Business & Economics & Management","BEM",,,"NA","吴声"
"伯恩斯坦金融三部曲1：繁荣的代价",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",
"财富的秘密",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",
"商业的常识",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",
"2025年世界将发生什么",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",
"自动自发 （《致加西亚的信》作者巅峰之作） ",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",
"中国牛市",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",
"管理的实践",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA","德鲁克"
"罗伯特议事规则操作指南(美国民间流传近150年的会议组织指导手册)",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",
"夏娃革命（引爆女性市场的八条黄金法则） ",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",
"考验－－跨国公司败阵中国实录",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",
"赢",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NO","杰克·韦尔奇"
"Competing on Analytics: The New Science of Winning",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NO","Thomas H"
"Consumer Behavior: Buying having and being",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NO","Solomon Michael R"
"Issue Driven",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NO",
"Zero to One: Notes on Startups or How to Build the Future",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NO","Peter Thiel"
"移动互联网时代",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NO",
"经济学原理(Principles of Economics)",1,"ThroughReading","Meta-Knowledge",,0,0,"Business & Economics & Management","BEM",,,"NO","Marshall"
"伯恩斯坦金融三部曲2：华尔街上的经济学家",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,,"NO",
"伯恩斯坦金融三部曲3：金融简史",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,,"NO",
"互联网商规11条摩根士丹利所推崇的商业战略思想",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,,"NO ",
"在路上：CCTV《赢在中国》首赛季12强创业启示录（励志创造人生 创业改变命运）",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"NO","P",
"刀口上的管理(全球顶尖企业如何利用冲突管理引领行业创新风潮） ",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"P","NA",
"巴菲特致股东的信：股份公司教程",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"NO","P",
